date,id,sent_neg,sent_neu,sent_pos,sent_comp,topic_freq,topic_density
2018-12-29 08:00:00,2869948844404148325,0.025,0.819,0.156,0.9956,0.0,0.0
2018-12-29 08:00:00,233048977997452689,0.019,0.908,0.073,0.9824,1.0,0.002347417840375587
2018-12-29 08:00:18,8067764872422497539,0.043,0.88,0.076,0.9781,1.0,0.0016025641025641025
2018-12-29 08:12:24,2911416958397788302,0.096,0.833,0.072,-0.4333,0.0,0.0
2018-12-29 08:12:34,4424574584211021775,0.085,0.852,0.064,-0.4333,0.0,0.0
2018-12-29 08:12:44,3721992419104795066,0.086,0.798,0.116,0.1376,0.0,0.0
2018-12-29 08:32:07,3619869167437420779,0.064,0.868,0.068,-0.1184,0.0,0.0
2018-12-29 08:32:18,5554938513461950789,0.07,0.878,0.052,-0.4333,0.0,0.0
2018-12-29 08:32:28,583674384192629970,0.067,0.883,0.05,-0.4333,0.0,0.0
2018-12-29 08:32:38,1209737749799449135,0.065,0.847,0.087,0.1376,0.0,0.0
2018-12-29 08:32:48,5065280243926466657,0.065,0.846,0.089,0.1872,0.0,0.0
2018-12-29 08:32:58,4405066833685965823,0.072,0.849,0.079,-0.3098,0.0,0.0
2018-12-29 08:33:09,8256524212613497067,0.074,0.871,0.055,-0.4333,0.0,0.0
2018-12-29 08:33:11,9087957508937623975,0.165,0.79,0.045,-0.9935,0.0,0.0
2018-12-29 08:34:07,2947552162947000129,0.065,0.814,0.121,0.9981,1.0,0.0009541984732824427
2018-12-29 08:37:17,165473969124436438,0.045,0.931,0.024,-0.7888,2.0,0.007380073800738007
2018-12-29 08:48:00,1017957774519731659,0.113,0.744,0.144,0.4155,0.0,0.0
2018-12-29 08:53:18,4331277048903607571,0.028,0.819,0.153,0.9704,1.0,0.007142857142857143
2018-12-29 09:00:50,3657114021530651544,0.155,0.746,0.099,-0.9975,3.0,0.004431314623338257
2018-12-29 09:06:16,4051650832741173129,0.149,0.818,0.032,-0.9933,0.0,0.0
2018-12-29 09:11:31,6987870530091870525,0.01,0.8,0.19,0.9984,1.0,0.0026954177897574125
2018-12-29 09:12:11,5125454178587257900,0.025,0.915,0.06,0.1872,0.0,0.0
2018-12-29 09:12:21,2601413530749733607,0.025,0.935,0.04,0.0356,0.0,0.0
2018-12-29 09:12:31,8770471937906353935,0.024,0.919,0.057,0.1852,0.0,0.0
2018-12-29 09:12:41,1475895639706577383,0.024,0.938,0.038,0.0356,0.0,0.0
2018-12-29 09:12:52,6824811094328652422,0.026,0.901,0.073,0.3481,0.0,0.0
2018-12-29 09:13:00,6234749081156854398,0.008,0.898,0.094,0.9915,1.0,0.0030864197530864196
2018-12-29 09:13:02,2841612145054535636,0.026,0.901,0.073,0.3481,0.0,0.0
2018-12-29 09:13:12,6906945069845213958,0.025,0.915,0.06,0.1872,0.0,0.0
2018-12-29 09:13:22,8975712023233417005,0.027,0.93,0.043,0.0356,0.0,0.0
2018-12-29 09:13:33,7680417246225096158,0.025,0.915,0.06,0.1872,0.0,0.0
2018-12-29 09:17:07,7133026912221386502,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 09:17:07,3607989947388893958,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 09:17:07,6221810133758920078,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 09:17:07,7952387394437755570,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 09:18:34,5084916186375903920,0.035,0.834,0.131,0.9929,1.0,0.002717391304347826
2018-12-29 09:21:38,9174282783528535687,0.189,0.774,0.037,-0.9042,0.0,0.0
2018-12-29 09:24:33,2336755940375620667,0.021,0.898,0.081,0.9996,1.0,0.0005470459518599562
2018-12-29 09:24:49,6414221453707435425,0.029,0.958,0.013,-0.3254,1.0,0.007518796992481203
2018-12-29 09:27:02,7340085971629428568,0.036,0.894,0.07,0.9383,2.0,0.00510204081632653
2018-12-29 09:32:12,5539197887332534234,0.025,0.935,0.04,0.0356,0.0,0.0
2018-12-29 09:32:22,8220316696766166724,0.024,0.919,0.057,0.1852,0.0,0.0
2018-12-29 09:32:33,2735986251025118440,0.024,0.919,0.057,0.1852,0.0,0.0
2018-12-29 09:32:53,7906922522688561052,0.024,0.882,0.093,0.5481,0.0,0.0
2018-12-29 09:33:03,8877939285939200026,0.024,0.882,0.093,0.5481,0.0,0.0
2018-12-29 09:37:39,5006936336432727327,0.028,0.83,0.141,0.9756,1.0,0.00641025641025641
2018-12-29 09:40:20,1489675752244530770,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 09:42:08,6615451433058079161,0.103,0.842,0.056,-0.9081,4.0,0.03076923076923077
2018-12-29 09:59:28,936381889404018845,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 10:00:02,4098153368125373893,0.053,0.802,0.145,0.9986,1.0,0.0014534883720930232
2018-12-29 10:04:17,4584600678774728934,0.018,0.962,0.02,0.0772,1.0,0.010869565217391304
2018-12-29 10:05:51,7961355507183589723,0.088,0.814,0.098,0.6744,1.0,0.00234192037470726
2018-12-29 10:08:30,6638908971442242062,0.051,0.782,0.167,0.9966,0.0,0.0
2018-12-29 10:11:24,2352125722642632858,0.016,0.933,0.051,0.9981,1.0,0.0006009615384615385
2018-12-29 10:12:04,1817801036424386133,0.027,0.907,0.066,0.1872,0.0,0.0
2018-12-29 10:12:15,2225764386550619460,0.026,0.912,0.062,0.1852,0.0,0.0
2018-12-29 10:12:25,7198656054244824778,0.027,0.871,0.102,0.5481,0.0,0.0
2018-12-29 10:12:57,7947903916697131167,0.047,0.818,0.136,0.993,1.0,0.003355704697986577
2018-12-29 10:23:59,6213833375227432320,0.098,0.794,0.108,0.2244,0.0,0.0
2018-12-29 10:25:00,5233360477954847109,0.074,0.911,0.014,-0.9696,0.0,0.0
2018-12-29 10:32:17,4019942758901465878,0.028,0.929,0.044,0.0356,0.0,0.0
2018-12-29 10:32:27,4785199193115320553,0.029,0.891,0.08,0.3481,0.0,0.0
2018-12-29 10:32:38,3035708708792770740,0.026,0.912,0.062,0.1852,0.0,0.0
2018-12-29 10:32:48,8731420377009713944,0.027,0.907,0.066,0.1872,0.0,0.0
2018-12-29 10:32:58,42572184793271255,0.028,0.929,0.044,0.0356,0.0,0.0
2018-12-29 10:52:10,7762128934545537526,0.03,0.887,0.083,0.3481,0.0,0.0
2018-12-29 10:52:21,5461626354845467524,0.028,0.927,0.045,0.0356,0.0,0.0
2018-12-29 10:52:31,7886834820670729984,0.028,0.904,0.067,0.1872,0.0,0.0
2018-12-29 10:52:41,8302710986426940691,0.028,0.904,0.067,0.1872,0.0,0.0
2018-12-29 10:52:50,983382508198810750,0.08,0.844,0.075,-0.5256,5.0,0.03676470588235294
2018-12-29 11:00:54,9060827819115799433,0.038,0.769,0.193,0.997,0.0,0.0
2018-12-29 11:05:21,4757465535031928891,0.051,0.891,0.058,0.1548,2.0,0.00796812749003984
